,Star Temperature [K],Planet Temperature [K],Planet Radius [Rjup],Total Observation Time [days]
1750,5328.0,1054.458527,1.232503991,1.3504318499999999
1751,5402.0,1271.227766,1.244927343,4.9396259250000005
1752,5490.0,1223.769927,1.225847373,26.338124999999998
1753,6250.0,2444.210117,1.993543923,0.4418658
1754,7305.0,2001.798841,1.733271516,1.826318025
1755,6240.9,2924.620906,0.698813857,0.547
1756,5844.0,969.9218898,0.386026889,48.437625
1757,6138.0,1035.435407,0.33711493,10.307946262499998
1758,5997.0,1861.715954,1.307331025,2.805
1759,5025.0,1028.696891,0.224217313,37.769375
1760,5918.0,1699.477514,0.904758395,8.383375000000001
1761,8451.0,2001.301051,2.087143804,1.576
1762,5774.0,1523.072053,0.738376349,6.811499999999999
1763,6006.0,1670.226666,1.251496163,3.385375
1764,4006.0,674.1472991,0.19734177,20.5905
1765,5667.0,1332.970057,1.172933046,0.48200000000000004
1766,6383.0,766.8703979,0.810678896,4.12875
1767,6156.0,1382.851814,0.337704468,18.785249999999998
1768,3160.0,371.4107778,0.975227269,6.336475200000001
1769,6831.5,1149.933996,1.609036202,8.697307949999999
1770,6115.26,614.2485399,1.503111278,23.32948725
1771,5708.0,712.740253,0.297190759,57.167
1772,5708.0,883.4284181,0.285787384,41.354
1773,3702.0,1363.131226,0.086009913,1.7061191500000001
1774,3611.0,545.0460982,0.176509778,14.91875
1775,5975.0,1116.344243,0.328484559,6.1635
1776,5046.61,1336.830914,2.155156233,0.568875
1777,6984.0,3462.27216,0.582254795,3.6905
1778,5970.54,1453.029367,0.520617315,9.112999999999998
1779,3264.0,1123.271106,0.106324779,2.401815375
1780,6490.0,946.8179019,1.028095586,40.416976125000005
1781,3319.0,453.2525193,0.129440507,18.4626435
1782,6013.0,703.6960771,0.470678305,58.86859537499999
1783,4271.0,592.029955,0.277346379,13.604983012500002
1784,5598.0,1196.14874,0.257343371,18.513
1785,7712.0,1804.212918,1.268400285,0.31575000000000003
1786,6011.0,1338.470029,0.660229661,11.109375
1787,6011.92,1381.911922,0.255674617,9.92875
1788,7461.36,2189.622117,1.566363245,0.40575000000000006
1789,6350.0,1856.896019,1.864163392,3.3456997499999996
1790,5752.44,1437.05761,1.564029523,0.66
1791,5695.6,1348.423296,0.382682253,32.10189235
1792,4384.23,1056.966172,0.231697408,13.0679169
1793,5381.15,663.2545266,0.229884736,22.074375
1794,6798.41,1038.50913,0.87617415,6.761884500000001
1795,3266.0,467.8101189,0.111248519,7.486001999999999
1796,8972.0,2725.94863,2.033552504,1.04675
1797,4379.0,683.1127348,1.232169015,10.4008671
1798,5991.0,966.9188614,0.256774987,40.013999999999996
1799,4674.0,1351.303912,1.31849273,0.449
1800,4326.0,790.711314,0.977174231,20.49875
1801,5902.3,1565.768767,1.130412742,8.357624999999999
1802,5689.0,805.4445047,0.526442294,61.833124999999995
1803,6110.0,1377.743188,1.538408481,4.2345
1804,5692.28,1157.722791,0.667559299,24.159212
1805,6209.0,1906.386358,1.43574824,9.41875
1806,5944.0,1569.127267,1.411612047,2.076875
1807,6349.0,1598.428487,1.316429855,22.054500000000004
